Summary:
Total Rooms: 1000
Total Students: 10000

List of rooms and the number of students in each:
Room ID: 0, Name: Room #0, Students: 9
Room ID: 1, Name: Room #1, Students: 7
Room ID: 2, Name: Room #2, Students: 9
Room ID: 3, Name: Room #3, Students: 5
Room ID: 4, Name: Room #4, Students: 11
Room ID: 5, Name: Room #5, Students: 9
Room ID: 6, Name: Room #6, Students: 4
Room ID: 7, Name: Room #7, Students: 10
Room ID: 8, Name: Room #8, Students: 12
Room ID: 9, Name: Room #9, Students: 7
Room ID: 10, Name: Room #10, Students: 13
Room ID: 11, Name: Room #11, Students: 12
Room ID: 12, Name: Room #12, Students: 16
Room ID: 13, Name: Room #13, Students: 10
Room ID: 14, Name: Room #14, Students: 7
Room ID: 15, Name: Room #15, Students: 9
Room ID: 16, Name: Room #16, Students: 10
Room ID: 17, Name: Room #17, Students: 9
Room ID: 18, Name: Room #18, Students: 10
Room ID: 19, Name: Room #19, Students: 13
Room ID: 20, Name: Room #20, Students: 15
Room ID: 21, Name: Room #21, Students: 15
Room ID: 22, Name: Room #22, Students: 9
Room ID: 23, Name: Room #23, Students: 16
Room ID: 24, Name: Room #24, Students: 14
Room ID: 25, Name: Room #25, Students: 4
Room ID: 26, Name: Room #26, Students: 7
Room ID: 27, Name: Room #27, Students: 6
Room ID: 28, Name: Room #28, Students: 7
Room ID: 29, Name: Room #29, Students: 12
Room ID: 30, Name: Room #30, Students: 9
Room ID: 31, Name: Room #31, Students: 13
Room ID: 32, Name: Room #32, Students: 9
Room ID: 33, Name: Room #33, Students: 9
Room ID: 34, Name: Room #34, Students: 9
Room ID: 35, Name: Room #35, Students: 14
Room ID: 36, Name: Room #36, Students: 10
Room ID: 37, Name: Room #37, Students: 12
Room ID: 38, Name: Room #38, Students: 10
Room ID: 39, Name: Room #39, Students: 12
Room ID: 40, Name: Room #40, Students: 11
Room ID: 41, Name: Room #41, Students: 15
Room ID: 42, Name: Room #42, Students: 8
Room ID: 43, Name: Room #43, Students: 9
Room ID: 44, Name: Room #44, Students: 16
Room ID: 45, Name: Room #45, Students: 10
Room ID: 46, Name: Room #46, Students: 12
Room ID: 47, Name: Room #47, Students: 9
Room ID: 48, Name: Room #48, Students: 12
Room ID: 49, Name: Room #49, Students: 3
Room ID: 50, Name: Room #50, Students: 6
Room ID: 51, Name: Room #51, Students: 15
Room ID: 52, Name: Room #52, Students: 15
Room ID: 53, Name: Room #53, Students: 9
Room ID: 54, Name: Room #54, Students: 6
Room ID: 55, Name: Room #55, Students: 9
Room ID: 56, Name: Room #56, Students: 13
Room ID: 57, Name: Room #57, Students: 9
Room ID: 58, Name: Room #58, Students: 12
Room ID: 59, Name: Room #59, Students: 9
Room ID: 60, Name: Room #60, Students: 9
Room ID: 61, Name: Room #61, Students: 11
Room ID: 62, Name: Room #62, Students: 14
Room ID: 63, Name: Room #63, Students: 9
Room ID: 64, Name: Room #64, Students: 11
Room ID: 65, Name: Room #65, Students: 16
Room ID: 66, Name: Room #66, Students: 6
Room ID: 67, Name: Room #67, Students: 10
Room ID: 68, Name: Room #68, Students: 12
Room ID: 69, Name: Room #69, Students: 12
Room ID: 70, Name: Room #70, Students: 12
Room ID: 71, Name: Room #71, Students: 10
Room ID: 72, Name: Room #72, Students: 8
Room ID: 73, Name: Room #73, Students: 20
Room ID: 74, Name: Room #74, Students: 17
Room ID: 75, Name: Room #75, Students: 7
Room ID: 76, Name: Room #76, Students: 6
Room ID: 77, Name: Room #77, Students: 9
Room ID: 78, Name: Room #78, Students: 8
Room ID: 79, Name: Room #79, Students: 6
